1920,112091.65,0
512,1299.74,0
192,44.42,0
64,1.85,0
1920,111750.62,0
512,1382.40,0
192,44.42,0
64,1.55,0
1920,113717.14,0
512,1380.43,0
192,44.55,0
64,1.56,0
1920,112985.61,0
512,1479.17,0
192,44.52,0
64,1.56,0
1920,114523.46,0
512,1557.25,0
192,44.43,0
64,1.55,0
1920,48309.44,64
512,1134.79,64
192,43.35,64
64,1.61,64
1920,48432.59,64
512,1124.77,64
192,43.30,64
64,1.61,64
1920,48242.29,64
512,1127.94,64
192,43.69,64
64,1.61,64
1920,48223.83,64
512,1130.85,64
192,43.31,64
64,1.60,64
1920,48263.14,64
512,1137.14,64
192,43.45,64
64,1.91,64
1920,43205.88,32
512,938.90,32
192,40.95,32
64,1.52,32
1920,43447.87,32
512,1039.26,32
192,40.80,32
64,1.54,32
1920,43283.20,32
512,966.99,32
192,40.79,32
64,1.52,32
1920,43282.61,32
512,960.91,32
192,40.78,32
64,1.53,32
1920,43203.94,32
512,946.11,32
192,40.94,32
64,1.53,32
